Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm
0,6.4,2.9,4.3,1.3
1,4.9,3.0,1.4,0.2
2,5.8,2.7,4.1,1.0
3,6.2,2.2,4.5,1.5
4,4.6,3.2,1.4,0.2
5,6.9,3.1,5.4,2.1
6,6.6,2.9,4.6,1.3
7,5.8,2.6,4.0,1.2
8,4.9,3.1,1.5,0.1
9,5.6,2.5,3.9,1.1
10,5.0,3.0,1.6,0.2
11,6.7,3.1,4.7,1.5
12,6.7,3.1,4.4,1.4
13,6.7,2.5,5.8,1.8
14,4.3,3.0,1.1,0.1
15,5.7,2.8,4.5,1.3
16,5.1,3.8,1.9,0.4
17,5.1,3.5,1.4,0.3
18,7.1,3.0,5.9,2.1
19,5.6,3.0,4.5,1.5
20,5.0,3.2,1.2,0.2
21,5.9,3.0,5.1,1.8
22,5.7,2.8,4.1,1.3
23,6.1,3.0,4.9,1.8
24,5.4,3.7,1.5,0.2
25,6.0,2.7,5.1,1.6
26,4.5,2.3,1.3,0.3
27,5.1,2.5,3.0,1.1
28,5.0,2.0,3.5,1.0
29,5.2,4.1,1.5,0.1
