Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
0,6.6,3.0,4.4,1.4,Iris-versicolor
1,5.5,2.5,4.0,1.3,Iris-versicolor
2,5.6,2.8,4.9,2.0,Iris-virginica
3,4.8,3.0,1.4,0.3,Iris-setosa
4,5.5,2.6,4.4,1.2,Iris-versicolor
5,6.3,2.7,4.9,1.8,Iris-virginica
6,4.6,3.1,1.5,0.2,Iris-setosa
7,6.8,3.2,5.9,2.3,Iris-virginica
8,5.5,3.5,1.3,0.2,Iris-setosa
9,6.7,3.0,5.2,2.3,Iris-virginica
10,5.8,2.8,5.1,2.4,Iris-virginica
11,5.1,3.5,1.4,0.2,Iris-setosa
12,6.3,2.8,5.1,1.5,Iris-virginica
13,7.2,3.6,6.1,2.5,Iris-virginica
14,6.4,2.8,5.6,2.1,Iris-virginica
15,6.9,3.1,5.1,2.3,Iris-virginica
16,4.7,3.2,1.6,0.2,Iris-setosa
17,6.5,3.0,5.5,1.8,Iris-virginica
18,4.8,3.0,1.4,0.1,Iris-setosa
19,5.6,2.7,4.2,1.3,Iris-versicolor
20,4.8,3.4,1.9,0.2,Iris-setosa
21,4.9,2.4,3.3,1.0,Iris-versicolor
22,6.0,2.9,4.5,1.5,Iris-versicolor
23,5.0,3.4,1.5,0.2,Iris-setosa
24,4.8,3.1,1.6,0.2,Iris-setosa
25,6.4,3.1,5.5,1.8,Iris-virginica
26,6.5,3.2,5.1,2.0,Iris-virginica
27,5.7,3.8,1.7,0.3,Iris-setosa
28,5.0,3.5,1.3,0.3,Iris-setosa
29,6.9,3.2,5.7,2.3,Iris-virginica
30,4.9,3.1,1.5,0.1,Iris-setosa
31,6.5,2.8,4.6,1.5,Iris-versicolor
32,6.1,3.0,4.6,1.4,Iris-versicolor
33,6.2,3.4,5.4,2.3,Iris-virginica
34,5.2,3.5,1.5,0.2,Iris-setosa
35,5.1,3.3,1.7,0.5,Iris-setosa
36,6.0,3.0,4.8,1.8,Iris-virginica
37,5.7,4.4,1.5,0.4,Iris-setosa
38,5.1,3.4,1.5,0.2,Iris-setosa
39,7.9,3.8,6.4,2.0,Iris-virginica
40,7.2,3.0,5.8,1.6,Iris-virginica
41,5.0,3.6,1.4,0.2,Iris-setosa
42,5.8,2.7,5.1,1.9,Iris-virginica
43,7.7,2.6,6.9,2.3,Iris-virginica
44,5.7,2.5,5.0,2.0,Iris-virginica
45,7.4,2.8,6.1,1.9,Iris-virginica
46,7.7,2.8,6.7,2.0,Iris-virginica
47,6.9,3.1,4.9,1.5,Iris-versicolor
48,6.4,2.8,5.6,2.2,Iris-virginica
49,6.1,2.8,4.0,1.3,Iris-versicolor
50,5.0,2.3,3.3,1.0,Iris-versicolor
51,6.4,3.2,4.5,1.5,Iris-versicolor
52,6.0,2.2,5.0,1.5,Iris-virginica
53,5.2,3.4,1.4,0.2,Iris-setosa
54,5.8,2.7,3.9,1.2,Iris-versicolor
55,6.3,3.4,5.6,2.4,Iris-virginica
56,6.8,3.0,5.5,2.1,Iris-virginica
57,6.4,2.7,5.3,1.9,Iris-virginica
58,6.7,3.3,5.7,2.5,Iris-virginica
59,5.5,4.2,1.4,0.2,Iris-setosa
60,4.6,3.6,1.0,0.2,Iris-setosa
61,6.7,3.1,5.6,2.4,Iris-virginica
62,6.5,3.0,5.2,2.0,Iris-virginica
63,4.4,3.0,1.3,0.2,Iris-setosa
64,7.2,3.2,6.0,1.8,Iris-virginica
65,5.7,2.6,3.5,1.0,Iris-versicolor
66,6.1,2.8,4.7,1.2,Iris-versicolor
67,6.8,2.8,4.8,1.4,Iris-versicolor
68,5.5,2.4,3.8,1.1,Iris-versicolor
69,6.0,3.4,4.5,1.6,Iris-versicolor
70,7.7,3.0,6.1,2.3,Iris-virginica
71,4.8,3.4,1.6,0.2,Iris-setosa
72,6.7,3.3,5.7,2.1,Iris-virginica
73,5.1,3.8,1.5,0.3,Iris-setosa
74,5.6,3.0,4.1,1.3,Iris-versicolor
75,5.1,3.8,1.6,0.2,Iris-setosa
76,7.0,3.2,4.7,1.4,Iris-versicolor
77,5.8,4.0,1.2,0.2,Iris-setosa
78,5.4,3.0,4.5,1.5,Iris-versicolor
